"","changepoint_prior_scale","seasonality_prior_scale","holidays_prior_scale","seasonality_mode","changepoint_range","mse","mae","mape"
"1",0.001,0.01,0.01,"additive",0.8,1181481.7352315,898.164346344065,0.070020349138407
"2",0.001,0.01,0.01,"additive",0.85,1162997.59941338,890.645755228834,0.0694320129359523
"3",0.001,0.01,0.01,"additive",0.9,1212390.23283081,914.463996398058,0.0713195906969263
"4",0.001,0.01,0.01,"additive",0.95,1130776.28400896,889.505708754541,0.0695145566831238
"5",0.001,0.01,0.01,"multiplicative",0.8,647574.741417173,680.368207468509,0.0524323355887199
"6",0.001,0.01,0.01,"multiplicative",0.85,664205.780069984,686.363382931512,0.0528252825491269
"7",0.001,0.01,0.01,"multiplicative",0.9,661162.35956703,690.141783275594,0.0532088217195093
"8",0.001,0.01,0.01,"multiplicative",0.95,671742.639167511,683.284331145427,0.0526996169979194
"9",0.001,0.01,0.1,"additive",0.8,1181481.7352315,898.164346344065,0.070020349138407
"10",0.001,0.01,0.1,"additive",0.85,1162997.59941338,890.645755228834,0.0694320129359523
"11",0.001,0.01,0.1,"additive",0.9,1212390.23283081,914.463996398058,0.0713195906969263
"12",0.001,0.01,0.1,"additive",0.95,1130776.28400896,889.505708754541,0.0695145566831238
"13",0.001,0.01,0.1,"multiplicative",0.8,647574.741417173,680.368207468509,0.0524323355887199
"14",0.001,0.01,0.1,"multiplicative",0.85,664205.780069984,686.363382931512,0.0528252825491269
"15",0.001,0.01,0.1,"multiplicative",0.9,661162.35956703,690.141783275594,0.0532088217195093
"16",0.001,0.01,0.1,"multiplicative",0.95,671742.639167511,683.284331145427,0.0526996169979194
"17",0.001,0.01,1,"additive",0.8,1181481.7352315,898.164346344065,0.070020349138407
"18",0.001,0.01,1,"additive",0.85,1162997.59941338,890.645755228834,0.0694320129359523
"19",0.001,0.01,1,"additive",0.9,1212390.23283081,914.463996398058,0.0713195906969263
"20",0.001,0.01,1,"additive",0.95,1130776.28400896,889.505708754541,0.0695145566831238
"21",0.001,0.01,1,"multiplicative",0.8,647574.741417173,680.368207468509,0.0524323355887199
"22",0.001,0.01,1,"multiplicative",0.85,664205.780069984,686.363382931512,0.0528252825491269
"23",0.001,0.01,1,"multiplicative",0.9,661162.35956703,690.141783275594,0.0532088217195093
"24",0.001,0.01,1,"multiplicative",0.95,671742.639167511,683.284331145427,0.0526996169979194
"25",0.001,0.01,10,"additive",0.8,1181481.7352315,898.164346344065,0.070020349138407
"26",0.001,0.01,10,"additive",0.85,1162997.59941338,890.645755228834,0.0694320129359523
"27",0.001,0.01,10,"additive",0.9,1212390.23283081,914.463996398058,0.0713195906969263
"28",0.001,0.01,10,"additive",0.95,1130776.28400896,889.505708754541,0.0695145566831238
"29",0.001,0.01,10,"multiplicative",0.8,647574.741417173,680.368207468509,0.0524323355887199
"30",0.001,0.01,10,"multiplicative",0.85,664205.780069984,686.363382931512,0.0528252825491269
"31",0.001,0.01,10,"multiplicative",0.9,661162.35956703,690.141783275594,0.0532088217195093
"32",0.001,0.01,10,"multiplicative",0.95,671742.639167511,683.284331145427,0.0526996169979194
"33",0.001,0.1,0.01,"additive",0.8,1146176.74829878,871.356360219791,0.0675873794629043
"34",0.001,0.1,0.01,"additive",0.85,1145604.93610398,873.08585082488,0.0677518256057649
"35",0.001,0.1,0.01,"additive",0.9,1204545.19757865,904.385117954729,0.0702672843609774
"36",0.001,0.1,0.01,"additive",0.95,1188913.24875698,918.740138190137,0.0717729170132733
"37",0.001,0.1,0.01,"multiplicative",0.8,638517.058169475,664.813413800836,0.0510376697300134
"38",0.001,0.1,0.01,"multiplicative",0.85,644445.202624123,668.458132863908,0.0512906499040488
"39",0.001,0.1,0.01,"multiplicative",0.9,646105.094649385,668.198401561525,0.0513214727016237
"40",0.001,0.1,0.01,"multiplicative",0.95,634551.998515453,650.894156404645,0.0502320909682071
"41",0.001,0.1,0.1,"additive",0.8,1146176.74829878,871.356360219791,0.0675873794629043
"42",0.001,0.1,0.1,"additive",0.85,1145604.93610398,873.08585082488,0.0677518256057649
"43",0.001,0.1,0.1,"additive",0.9,1204545.19757865,904.385117954729,0.0702672843609774
"44",0.001,0.1,0.1,"additive",0.95,1188913.24875698,918.740138190137,0.0717729170132733
"45",0.001,0.1,0.1,"multiplicative",0.8,638517.058169475,664.813413800836,0.0510376697300134
"46",0.001,0.1,0.1,"multiplicative",0.85,644445.202624123,668.458132863908,0.0512906499040488
"47",0.001,0.1,0.1,"multiplicative",0.9,646105.094649385,668.198401561525,0.0513214727016237
"48",0.001,0.1,0.1,"multiplicative",0.95,634551.998515453,650.894156404645,0.0502320909682071
"49",0.001,0.1,1,"additive",0.8,1146176.74829878,871.356360219791,0.0675873794629043
"50",0.001,0.1,1,"additive",0.85,1145604.93610398,873.08585082488,0.0677518256057649
"51",0.001,0.1,1,"additive",0.9,1204545.19757865,904.385117954729,0.0702672843609774
"52",0.001,0.1,1,"additive",0.95,1188913.24875698,918.740138190137,0.0717729170132733
"53",0.001,0.1,1,"multiplicative",0.8,638517.058169475,664.813413800836,0.0510376697300134
"54",0.001,0.1,1,"multiplicative",0.85,644445.202624123,668.458132863908,0.0512906499040488
"55",0.001,0.1,1,"multiplicative",0.9,646105.094649385,668.198401561525,0.0513214727016237
"56",0.001,0.1,1,"multiplicative",0.95,634551.998515453,650.894156404645,0.0502320909682071
"57",0.001,0.1,10,"additive",0.8,1146176.74829878,871.356360219791,0.0675873794629043
"58",0.001,0.1,10,"additive",0.85,1145604.93610398,873.08585082488,0.0677518256057649
"59",0.001,0.1,10,"additive",0.9,1204545.19757865,904.385117954729,0.0702672843609774
"60",0.001,0.1,10,"additive",0.95,1188913.24875698,918.740138190137,0.0717729170132733
"61",0.001,0.1,10,"multiplicative",0.8,638517.058169475,664.813413800836,0.0510376697300134
"62",0.001,0.1,10,"multiplicative",0.85,644445.202624123,668.458132863908,0.0512906499040488
"63",0.001,0.1,10,"multiplicative",0.9,646105.094649385,668.198401561525,0.0513214727016237
"64",0.001,0.1,10,"multiplicative",0.95,634551.998515453,650.894156404645,0.0502320909682071
"65",0.001,1,0.01,"additive",0.8,1149078.92806394,881.113628968025,0.0684647502784624
"66",0.001,1,0.01,"additive",0.85,1136280.0144131,876.582747267757,0.0681390571056192
"67",0.001,1,0.01,"additive",0.9,1219148.32698307,915.383579425886,0.0712473394273856
"68",0.001,1,0.01,"additive",0.95,1072446.18872746,858.117574000372,0.0669674163087274
"69",0.001,1,0.01,"multiplicative",0.8,661441.314365452,680.013863438674,0.0523370990717275
"70",0.001,1,0.01,"multiplicative",0.85,665933.115830618,681.879365986553,0.0524752310396033
"71",0.001,1,0.01,"multiplicative",0.9,692299.818771647,693.706044073862,0.0535146766230058
"72",0.001,1,0.01,"multiplicative",0.95,621024.143015202,640.093389495089,0.0496250975164964
"73",0.001,1,0.1,"additive",0.8,1149078.92806394,881.113628968025,0.0684647502784624
"74",0.001,1,0.1,"additive",0.85,1136280.0144131,876.582747267757,0.0681390571056192
"75",0.001,1,0.1,"additive",0.9,1219148.32698307,915.383579425886,0.0712473394273856
"76",0.001,1,0.1,"additive",0.95,1072446.18872746,858.117574000372,0.0669674163087274
"77",0.001,1,0.1,"multiplicative",0.8,661441.314365452,680.013863438674,0.0523370990717275
"78",0.001,1,0.1,"multiplicative",0.85,665933.115830618,681.879365986553,0.0524752310396033
"79",0.001,1,0.1,"multiplicative",0.9,692299.818771647,693.706044073862,0.0535146766230058
"80",0.001,1,0.1,"multiplicative",0.95,621024.143015202,640.093389495089,0.0496250975164964
"81",0.001,1,1,"additive",0.8,1149078.92806394,881.113628968025,0.0684647502784624
"82",0.001,1,1,"additive",0.85,1136280.0144131,876.582747267757,0.0681390571056192
"83",0.001,1,1,"additive",0.9,1219148.32698307,915.383579425886,0.0712473394273856
"84",0.001,1,1,"additive",0.95,1072446.18872746,858.117574000372,0.0669674163087274
"85",0.001,1,1,"multiplicative",0.8,661441.314365452,680.013863438674,0.0523370990717275
"86",0.001,1,1,"multiplicative",0.85,665933.115830618,681.879365986553,0.0524752310396033
"87",0.001,1,1,"multiplicative",0.9,692299.818771647,693.706044073862,0.0535146766230058
"88",0.001,1,1,"multiplicative",0.95,621024.143015202,640.093389495089,0.0496250975164964
"89",0.001,1,10,"additive",0.8,1149078.92806394,881.113628968025,0.0684647502784624
"90",0.001,1,10,"additive",0.85,1136280.0144131,876.582747267757,0.0681390571056192
"91",0.001,1,10,"additive",0.9,1219148.32698307,915.383579425886,0.0712473394273856
"92",0.001,1,10,"additive",0.95,1072446.18872746,858.117574000372,0.0669674163087274
"93",0.001,1,10,"multiplicative",0.8,661441.314365452,680.013863438674,0.0523370990717275
"94",0.001,1,10,"multiplicative",0.85,665933.115830618,681.879365986553,0.0524752310396033
"95",0.001,1,10,"multiplicative",0.9,692299.818771647,693.706044073862,0.0535146766230058
"96",0.001,1,10,"multiplicative",0.95,621024.143015202,640.093389495089,0.0496250975164964
"97",0.001,10,0.01,"additive",0.8,1134016.70871802,872.282136814668,0.0677675199185026
"98",0.001,10,0.01,"additive",0.85,1128044.66961204,871.424961370948,0.0677295459187589
"99",0.001,10,0.01,"additive",0.9,1276726.66489272,929.469413708962,0.0723265197044828
"100",0.001,10,0.01,"additive",0.95,1088200.02257932,870.463608579127,0.0679279293312952
"101",0.001,10,0.01,"multiplicative",0.8,646592.6801417,675.14353598432,0.0520484282314716
"102",0.001,10,0.01,"multiplicative",0.85,662384.480465572,682.793708019124,0.0526074926725576
"103",0.001,10,0.01,"multiplicative",0.9,691681.107440133,695.091046112447,0.0536604574832502
"104",0.001,10,0.01,"multiplicative",0.95,640179.975558939,653.811470654262,0.0506893286786137
"105",0.001,10,0.1,"additive",0.8,1134016.70871802,872.282136814668,0.0677675199185026
"106",0.001,10,0.1,"additive",0.85,1128044.66961204,871.424961370948,0.0677295459187589
"107",0.001,10,0.1,"additive",0.9,1276726.66489272,929.469413708962,0.0723265197044828
"108",0.001,10,0.1,"additive",0.95,1088200.02257932,870.463608579127,0.0679279293312952
"109",0.001,10,0.1,"multiplicative",0.8,646592.6801417,675.14353598432,0.0520484282314716
"110",0.001,10,0.1,"multiplicative",0.85,662384.480465572,682.793708019124,0.0526074926725576
"111",0.001,10,0.1,"multiplicative",0.9,691681.107440133,695.091046112447,0.0536604574832502
"112",0.001,10,0.1,"multiplicative",0.95,640179.975558939,653.811470654262,0.0506893286786137
"113",0.001,10,1,"additive",0.8,1134016.70871802,872.282136814668,0.0677675199185026
"114",0.001,10,1,"additive",0.85,1128044.66961204,871.424961370948,0.0677295459187589
"115",0.001,10,1,"additive",0.9,1276726.66489272,929.469413708962,0.0723265197044828
"116",0.001,10,1,"additive",0.95,1088200.02257932,870.463608579127,0.0679279293312952
"117",0.001,10,1,"multiplicative",0.8,646592.6801417,675.14353598432,0.0520484282314716
"118",0.001,10,1,"multiplicative",0.85,662384.480465572,682.793708019124,0.0526074926725576
"119",0.001,10,1,"multiplicative",0.9,691681.107440133,695.091046112447,0.0536604574832502
"120",0.001,10,1,"multiplicative",0.95,640179.975558939,653.811470654262,0.0506893286786137
"121",0.001,10,10,"additive",0.8,1134016.70871802,872.282136814668,0.0677675199185026
"122",0.001,10,10,"additive",0.85,1128044.66961204,871.424961370948,0.0677295459187589
"123",0.001,10,10,"additive",0.9,1276726.66489272,929.469413708962,0.0723265197044828
"124",0.001,10,10,"additive",0.95,1088200.02257932,870.463608579127,0.0679279293312952
"125",0.001,10,10,"multiplicative",0.8,646592.6801417,675.14353598432,0.0520484282314716
"126",0.001,10,10,"multiplicative",0.85,662384.480465572,682.793708019124,0.0526074926725576
